measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,15 to 19,Lower respiratory infections,Number,2006,16437.30730778113,17756.474199040396,14988.329444872174
Deaths,Global,Both,20 to 24,Lower respiratory infections,Number,2006,18222.378213475116,19777.891025816632,16760.75837256375
Deaths,Global,Both,25 to 29,Lower respiratory infections,Number,2006,20200.164315531318,21473.184219804618,18529.68396866687
Deaths,Global,Both,30 to 34,Lower respiratory infections,Number,2006,22953.463818680295,24361.910348986243,21077.40846561207
Deaths,Global,Both,35 to 39,Lower respiratory infections,Number,2006,27889.680220139046,29675.08159024763,25626.34914308144
Deaths,Global,Both,40 to 44,Lower respiratory infections,Number,2006,33145.50195694618,35157.10578170475,30686.270838237564
Deaths,Global,Both,45 to 49,Lower respiratory infections,Number,2006,40341.73200089727,42574.92905774222,37359.30633006168
Deaths,Global,Both,50 to 54,Lower respiratory infections,Number,2006,53813.071896436726,57339.44995134944,49141.34389037162
Deaths,Global,Both,55 to 59,Lower respiratory infections,Number,2006,63708.848422179384,66915.43056930987,58473.56522220904
Deaths,Global,Both,60 to 64,Lower respiratory infections,Number,2006,84543.45091676353,88790.81655253514,76885.36367658516
Deaths,Global,Both,65 to 69,Lower respiratory infections,Number,2006,112592.1077184616,118301.3354666619,102158.2542850432
Deaths,Global,Both,70 to 74,Lower respiratory infections,Number,2006,149849.36424197923,158538.96609038708,138911.3038485412
Deaths,Global,Both,75 to 79,Lower respiratory infections,Number,2006,177075.94115583465,188656.8734121966,166699.77446526347
Deaths,Global,Both,1 to 4,Lower respiratory infections,Number,2014,237919.73024985986,269569.9112503562,207283.93290967622
Deaths,Global,Both,5 to 9,Lower respiratory infections,Number,2014,32585.853263088084,36135.03433406555,28501.8879603383
Deaths,Global,Both,10 to 14,Lower respiratory infections,Number,2014,16068.656504187416,17708.577405259908,14280.23514012582
Deaths,Global,Both,15 to 19,Lower respiratory infections,Number,2014,13842.93219314731,14975.56093696694,12678.33720959009
Deaths,Global,Both,20 to 24,Lower respiratory infections,Number,2014,15958.277403671176,17403.119930165383,14693.69732468829
