measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,1 to 4,Diarrheal diseases,Number,1996,592928.0988808627,708504.1266554211,477764.0826499252
Deaths,Global,Both,5 to 9,Diarrheal diseases,Number,1996,54519.14116689002,84778.24458849111,29767.02159075414
Deaths,Global,Both,10 to 14,Diarrheal diseases,Number,1996,22802.95038498574,36484.20809888423,13954.626803922702
Deaths,Global,Both,15 to 19,Diarrheal diseases,Number,1996,21697.987454823346,35172.1831073247,12688.773441010168
Deaths,Global,Both,20 to 24,Diarrheal diseases,Number,1996,22726.131399960548,36973.498054654956,13000.319020100971
Deaths,Global,Both,25 to 29,Diarrheal diseases,Number,1996,20913.414175496477,33800.21462750269,12166.417313014394
Deaths,Global,Both,30 to 34,Diarrheal diseases,Number,1996,21042.50509074631,33983.39180590563,12033.423139346332
Deaths,Global,Both,35 to 39,Diarrheal diseases,Number,1996,21841.566090092365,35736.303725868114,13035.257302897819
Deaths,Global,Both,40 to 44,Diarrheal diseases,Number,1996,23413.233651331357,39641.74667141133,13720.747804969309
Deaths,Global,Both,45 to 49,Diarrheal diseases,Number,1996,27685.208302945208,46445.74737425695,16415.17085747752
Deaths,Global,Both,50 to 54,Diarrheal diseases,Number,1996,33804.55453681469,56731.08763801608,20084.002620316376
Deaths,Global,Both,55 to 59,Diarrheal diseases,Number,1996,45407.46548086237,74868.36578518363,27801.42181199739
Deaths,Global,Both,60 to 64,Diarrheal diseases,Number,1996,71083.23725972821,116804.99391240873,42723.31618764221
Deaths,Global,Both,65 to 69,Diarrheal diseases,Number,1996,93224.84476584542,152673.64666934407,58475.61664699744
Deaths,Global,Both,70 to 74,Diarrheal diseases,Number,1996,112405.01045025536,177557.68681538853,71436.9823951655
Deaths,Global,Both,75 to 79,Diarrheal diseases,Number,1996,112443.33252520043,179213.6066436663,72022.40571114907
Deaths,Global,Both,1 to 4,Diarrheal diseases,Number,2004,425979.3899677368,501205.50799883076,349843.5004316085
Deaths,Global,Both,5 to 9,Diarrheal diseases,Number,2004,44133.213837266965,70766.51327347504,27126.783079032473
Deaths,Global,Both,10 to 14,Diarrheal diseases,Number,2004,21396.201935208705,35123.26439268757,13869.256784203024
Deaths,Global,Both,15 to 19,Diarrheal diseases,Number,2004,21865.082390545293,36380.49467991941,13514.233527467542
Deaths,Global,Both,20 to 24,Diarrheal diseases,Number,2004,21800.15761115132,35713.537788373666,13108.362466050412
Deaths,Global,Both,25 to 29,Diarrheal diseases,Number,2004,19727.707945853625,32145.256935737867,11582.63954048152
Deaths,Global,Both,30 to 34,Diarrheal diseases,Number,2004,19376.520789469316,31772.03065262708,11668.507056724096
